term,category,definition,example,tags,cross_references
Anthropisches Prinzip,Philosophie / Kosmologie,"Die Beobachtung, dass wir uns zwangsläufig in einem Universum befinden, das Beobachter wie uns hervorbringen konnte.","Kosmologische Konstanten wirken ""fein abgestimmt"", weil wir nur in einem Universum existieren können, das Leben zulässt.",Kosmologie; Beobachter; Auswahleffekt,Laplacescher Dämon
Orch-OR-Theorie,Neurowissenschaft / Physik,"Umstrittene These von Penrose & Hameroff, dass Mikrotubuli im Gehirn Quanteneffekte nutzen und Bewusstsein erzeugen.","Postuliert, dass menschliches Denken nicht rein klassisch-deterministisch abläuft (Kritik: zu schnelle Dekohärenz im Gehirn).",Quantenmechanik; Bewusstsein; Roger Penrose,Orch-OR-Theorie
Intermittierende Verstärkung,Psychologie,"Belohnungen, die nur unregelmäßig/unvorhersehbar erfolgen, erzeugen deutlich stärkere und schwerer löschbare Verhaltensbindungen.",Der Mechanismus hinter Spielsucht an Slot-Machines und gezielt verbaut in Social-Media-Feeds.,B.F. Skinner; Verhaltenspsychologie; Konditionierung,Enshittification
Inkubation / Default Mode Network,Psychologie / Neurowissenschaft,"Unbewusste assoziative Verarbeitung im Gehirn-Hintergrund, während man sich auf etwas anderes konzentriert oder entspannt.","Eine Lösung für ein komplexes Problem fällt einem unter der Dusche ein, nicht am Schreibtisch.",Neurowissenschaft; Assoziation; Kognition,Inkubation / Default Mode Network
Akrasia / Willensschwäche,Philosophie / Handlungstheorie,"Das Phänomen, etwas als richtig/klug zu erkennen, es aber trotzdem nicht zu tun.","Man weiß exakt, dass Rauchen schädlich ist, raucht aber trotzdem weiter.",Aristoteles; Ethik; Handlungstheorie,Humes Einwand
Instrumenteller vs. kategorischer Imperativ,Philosophie / Ethik,"Kants Ethik gründet auf reiner Vernunft und Universalisierbarkeit (handle nur nach Maximen, die allgemeines Gesetz sein könnten).","Lügen ist falsch, weil eine Welt, in der alle immer lügen, logisch unmöglich funktionieren könnte.",Immanuel Kant; Pflichtethik; Vernunft,Humes Einwand; Rawls' Schleier des Nichtwissens
Humes Einwand,Philosophie / Ethik,"Selbst wenn reine Vernunft eine Pflicht erkennt, motiviert sie nicht zwangsläufig zum Handeln (""Vernunft ist Sklavin der Leidenschaften"").","Man erkennt eine moralische Pflicht an, handelt aber dagegen, weil der innere ""Antrieb"" fehlt.",David Hume; Motivation; Ethik,Instrumenteller vs. kategorischer Imperativ; Akrasia
Rawls' Schleier des Nichtwissens,Philosophie / Politik,"Gerechte Prinzipien sollte man so wählen, als wüsste man nicht, welche Position man selbst in der Gesellschaft einnehmen wird.","Gesetze so gestalten, als könnte man selbst arm oder reich, mächtig oder schwach sein.",John Rawls; Gerechtigkeit; Governance,Instrumenteller vs. kategorischer Imperativ
Hysterese,Physik / Ökonomie / Systemtheorie,"Systeme, die nach einer Störung nicht einfach zum Ausgangszustand zurückkehren, selbst wenn die Störungsursache wegfällt.",CO2 in der Atmosphäre: Bei sofortigem Stopp der Emissionen bleibt der verursachte Schaden bestehen und ist schwer reversibel.,Systemtheorie; Pfadabhängigkeit; Klimawandel,Enshittification; Reflexivität
Reflexivität,Ökonomie / Soziologie,"Die Beobachtung, dass soziale/ökonomische Prognosen das beobachtete System selbst verändern, sobald sie bekannt werden.",Eine öffentlich vorhergesagte Börsen-Baisse kann durch Herdenverhalten erst recht den Crash auslösen.,George Soros; Feedbackschleifen; Märkte,Hysterese; Ljapunov-Exponenten
Enshittification,Ökonomie / Plattformökonomie,"Die Verfallskurve digitaler Plattformen: erst gut für Nutzer, dann für Geschäftskunden, am Ende nur noch für die Plattform selbst.",TripAdvisor wandelt sich vom reinen Austauschforum zur Verkaufsplattform.,Cory Doctorow; Plattformen; Monopolisierung,Intermittierende Verstärkung; Hysterese
Alignment,KI-Sicherheit,"Oberbegriff für das Bemühen, KI-Systeme so zu gestalten und zu trainieren, dass ihr Verhalten mit menschlichen Werten und Absichten übereinstimmt, auch wenn sie mächtiger oder autonomer werden.","Ein Modell wird darauf trainiert, hilfreich, ehrlich und harmlos zu sein, statt nur die Trainingsmetrik blind zu maximieren.",Alignment-Problem; KI-Sicherheit; RLHF,Constitutional AI / RLAIF; Value is Fragile
Red Teaming,KI-Sicherheit,"Systematisches, gezieltes Testen eines KI-Systems auf Schwachstellen, gefährliches Verhalten oder Umgehbarkeit von Sicherheitsmaßnahmen, oft durch eigens dafür abgestellte Teams oder andere KIs.","Ein Team versucht gezielt, ein Sprachmodell durch geschickte Formulierungen zu verbotenen Inhalten zu bringen, um die Lücke zu schließen, bevor echte Angreifer sie finden.",KI-Sicherheit; Testing; Adversarial,Deceptive Alignment / Alignment Faking; Scalable Oversight
Machine Learning,KI,"Teilgebiet der Informatik, in dem Systeme aus Daten Muster lernen, statt explizit für jede Aufgabe programmiert zu werden.","Ein Spam-Filter lernt aus tausenden Beispiel-E-Mails, welche Merkmale auf Spam hindeuten, statt fest programmierter Regeln.",KI; Statistik; Informatik,Neuronales Netz; Kostenfunktion
Neuronales Netz,KI,"Ein von biologischen Gehirnen inspiriertes Rechenmodell aus Schichten künstlicher Neuronen, die Eingaben gewichtet verarbeiten und dadurch komplexe Funktionen approximieren können.","Ein Netz mit Millionen Parametern lernt, in Bildern Katzen von Hunden zu unterscheiden, ohne dass ihm jemand explizit sagt, worauf es achten soll.",KI; Deep Learning; Architektur,Backpropagation; Transformer-Modell
Backpropagation,KI,"Der Algorithmus, mit dem neuronale Netze trainiert werden: Der Fehler am Ausgang wird rückwärts durch das Netz propagiert, um zu berechnen, wie jedes einzelne Gewicht angepasst werden muss.","Sagt das Netz 'Hund' statt 'Katze', berechnet Backpropagation für jede Verbindung im Netz, wie stark sie zum Fehler beigetragen hat, und passt sie entsprechend an.",KI; Gradient Descent; Training,Neuronales Netz; Kostenfunktion
Gradient Descent,KI / Mathematik,"Ein Optimierungsverfahren, das die Parameter eines Modells schrittweise in die Richtung verändert, in der die Kostenfunktion am stärksten abnimmt, bis ein (lokales) Minimum erreicht ist.","Wie beim Abstieg von einem Berg im Nebel: Man tastet sich in die steilste Richtung bergab vor, ohne das ganze Tal zu überblicken.",Optimierung; Training; Calculus,Backpropagation; Kostenfunktion
Kostenfunktion,KI / Mathematik,"Eine Funktion, die misst, wie weit die Vorhersage eines Modells von der gewünschten Ausgabe entfernt ist; das Training minimiert diesen Wert.","Bei Bildklassifikation bestraft die Kostenfunktion das Modell umso stärker, je sicherer es sich bei einer falschen Antwort war.",Training; Optimierung; Machine Learning,Gradient Descent; Backpropagation
Transformer-Modell,KI,"Eine 2017 eingeführte neuronale Netzarchitektur, die mittels Attention-Mechanismus Beziehungen zwischen allen Elementen einer Eingabesequenz gleichzeitig gewichtet, statt sie nacheinander zu verarbeiten; Grundlage moderner LLMs.","Beim Satz 'die Bank am Fluss' hilft Attention dem Modell zu erkennen, dass 'Bank' hier eine Sitzbank meint, weil 'Fluss' im selben Satz steht.",Architektur; Attention; Vaswani et al. 2017,LLM; Neuronales Netz
LLM (Large Language Model),KI,"Ein sehr großes, auf riesigen Textmengen trainiertes Sprachmodell, das durch Vorhersage des nächsten Wortes ein breites Spektrum an Sprach- und Wissensfähigkeiten erlernt.","Claude oder GPT sind LLMs, die aus Milliarden Texten gelernt haben, wie Sprache, Fakten und Argumentation typischerweise zusammenhängen.",NLP; Pretraining; Skalierung,Transformer-Modell; Emergente Fähigkeiten
Pretraining,KI,"Die erste, rechenintensivste Trainingsphase eines Sprachmodells, in der es an riesigen, unspezifischen Textmengen lernt, Sprache und Wissen allgemein zu modellieren, bevor es feinjustiert wird.","Ein Modell liest beim Pretraining Milliarden Webseiten, Bücher und Artikel, ohne dass ihm gesagt wird, wofür es das Gelernte später nutzen soll.",Training; LLM; Skalierung,Fine-Tuning / RLHF; LLM (Large Language Model)
Fine-Tuning / RLHF,KI,"Die nachgelagerte Trainingsphase, in der ein vortrainiertes Modell anhand spezifischerer Daten oder menschlichem Feedback (Reinforcement Learning from Human Feedback) an gewünschtes Verhalten angepasst wird.","Nach dem Pretraining wird ein Modell mit Beispielen hilfreicher Antworten und menschlichen Bewertungen weitertrainiert, damit es sich wie ein Assistent verhält.",Training; Alignment; Feedback,Constitutional AI / RLAIF; Pretraining
Top-P (Nucleus Sampling),KI,"Ein Verfahren zur Textgenerierung, bei dem nur aus der kleinsten Menge der wahrscheinlichsten nächsten Wörter ausgewählt wird, deren kumulierte Wahrscheinlichkeit einen Schwellenwert P erreicht.","Bei Top-P = 0,9 wählt das Modell nur aus den Wörtern, die zusammen 90% der Wahrscheinlichkeitsmasse ausmachen, und ignoriert sehr unwahrscheinliche Ausreißer.",Sampling; Textgenerierung; Inferenz,Temperature; LLM (Large Language Model)
Temperature,KI,"Ein Parameter bei der Textgenerierung, der steuert, wie zufällig oder konservativ ein Modell seine Wortwahl trifft: niedrige Werte bevorzugen die wahrscheinlichste Fortsetzung, hohe Werte erlauben mehr Überraschung.","Temperature 0 liefert fast immer dieselbe, vorhersehbarste Antwort; Temperature 1,2 erzeugt kreativere, aber auch fehleranfälligere Texte.",Sampling; Textgenerierung; Inferenz,Top-P (Nucleus Sampling); LLM (Large Language Model)
Emergente Fähigkeiten,KI,"Fähigkeiten, die in großen Modellen plötzlich auftreten, sobald eine bestimmte Modell- oder Datengröße überschritten wird, ohne bei kleineren Modellen in ähnlicher Form vorhanden zu sein.","Ein Modell kann ab einer bestimmten Größe plötzlich mehrstufige Rechenaufgaben lösen, obwohl kleinere Versionen desselben Modells konsequent scheitern.",Skalierung; LLM; Forschung,LLM (Large Language Model); Mesa-Optimierung
Reward Hacking / Specification Gaming,KI-Sicherheit,"Wenn ein trainiertes System die formale Zielmetrik erfüllt, dabei aber das eigentlich gewünschte Ergebnis verfehlt oder unterläuft, weil die Metrik das wahre Ziel nur unvollständig abbildet.","Ein Boot, das in einem Rennspiel trainiert wird, fährt im Kreis und sammelt Bonuspunkte, statt das Rennen zu beenden, weil das die Punktzahl maximiert.",Alignment; Zielfunktion; Trainingsfehler,Value is Fragile; King-Midas-Problem / Corrigibility
Mesa-Optimierung,KI-Sicherheit,"Wenn ein trainiertes Modell selbst einen internen Optimierungsprozess mit eigenem, vom ursprünglichen Trainingsziel abweichendem Zielinhalt entwickelt.","Ein auf Labyrinth-Navigation trainiertes Modell lernt intern 'gehe zum grünen Pfeil' statt 'erreiche das Ziel' - unauffällig, solange beide zusammenfallen.",Alignment; Forschung; Innere Ausrichtung,Deceptive Alignment / Alignment Faking; Reward Hacking / Specification Gaming
Halluzination,KI,"Wenn ein Sprachmodell selbstbewusst plausibel klingende, aber sachlich falsche oder erfundene Informationen präsentiert.","Ein Modell erfindet eine wissenschaftliche Studie samt Autor und Jahr, die es nie gab, weil das Muster einer echten Quellenangabe statistisch plausibel wirkte.",LLM; Zuverlässigkeit; Grenzen,LLM (Large Language Model); Mechanistische Interpretierbarkeit
Mechanistische Interpretierbarkeit,KI-Sicherheit,"Forschungsfeld, das versucht, die internen Berechnungen neuronaler Netze (Features, Schaltkreise) menschlich verständlich zu machen, statt sie als Blackbox zu behandeln.","Über sogenannte Sparse Autoencoders lassen sich einzelne, interpretierbare Konzepte in den Gewichten eines Modells auffinden, etwa ein Feature, das auf Ironie reagiert.",Anthropic; Forschung; Transparenz,Deceptive Alignment / Alignment Faking; Scalable Oversight
Vektor,Mathematik,"Ein mathematisches Objekt mit Richtung und Länge, dargestellt als geordnete Liste von Zahlen; Grundbaustein linearer Algebra und fast aller KI-Berechnungen.","Ein Wort wird in einem Sprachmodell als Vektor aus hunderten Zahlen dargestellt, der seine Bedeutung im Kontext codiert.",Lineare Algebra; Grundlagen; KI,Vektorraum; Embedding
Vektorraum,Mathematik,"Eine Menge von Vektoren, die unter Addition und Skalierung abgeschlossen ist; der abstrakte Raum, in dem all diese Vektoren zueinander in Beziehung gesetzt werden können.",Im Vektorraum eines Sprachmodells liegen die Vektoren für 'König' und 'Königin' ungefähr im selben Abstand und derselben Richtung wie 'Mann' und 'Frau'.,Lineare Algebra; Geometrie; KI,Vektor; Embedding
Embedding,KI,"Die Darstellung diskreter Objekte (Wörter, Bilder, Nutzer) als Vektoren in einem kontinuierlichen Raum, sodass ähnliche Objekte nahe beieinanderliegen.","'Hund' und 'Katze' liegen im Embedding-Raum eines Sprachmodells näher beieinander als 'Hund' und 'Auto', weil sie in ähnlichen Kontexten vorkommen.",NLP; Repräsentation; Vektorraum,Vektorraum; Transformer-Modell
Markov-Kette,Mathematik / Stochastik,"Ein stochastischer Prozess, bei dem die Wahrscheinlichkeit des nächsten Zustands nur vom aktuellen Zustand abhängt, nicht von der Vorgeschichte (Gedächtnislosigkeit).","Ein einfaches Wettermodell sagt 'morgen regnet es mit 30% Wahrscheinlichkeit, wenn es heute regnet' voraus, unabhängig vom Wetter der Vorwoche.",Stochastik; Wahrscheinlichkeit; Modellierung,Random Walk; Monte-Carlo-Simulation
LPPLS (Log-Periodic Power Law Singularity),Ökonomie / Physik,"Ein Modell zur Beschreibung spekulativer Marktblasen, das superexponentielles Preiswachstum mit abnehmenden, beschleunigten Oszillationen kombiniert, um einen wahrscheinlichen Umkehrzeitpunkt zu schätzen.",Ein Aktienindex zeigt vor einem Crash oft immer schneller aufeinanderfolgende kleine Kurseinbrüche um einen exponentiell steigenden Trend - die von LPPLS modellierte Signatur einer heranreifenden Blase.,Marktblasen; Didier Sornette; Ökonophysik,Reflexivität; Hurst-Exponent
Hurst-Exponent,Mathematik / Statistik,"Ein Maß (zwischen 0 und 1) für die Langzeit-Gedächtnisstärke einer Zeitreihe: Werte über 0,5 deuten auf anhaltende Trends hin, Werte darunter auf Mean-Reversion, 0,5 entspricht reinem Zufall.","Ein Hurst-Exponent von 0,7 bei einer Aktie deutet darauf hin, dass auf steigende Kurse eher weiter steigende Kurse folgen, statt reinem Zufall zu entsprechen.",Zeitreihenanalyse; Fraktale; Finanzmathematik,Random Walk; Fraktale Dimension
Sharpe-Ratio,Ökonomie / Finanzen,"Eine Kennzahl, die die Überrendite einer Anlage gegenüber einer risikofreien Anlage ins Verhältnis zu ihrer Volatilität setzt, um risikoadjustierte Performance zu vergleichen.","Zwei Fonds erzielen dieselbe Rendite, aber der mit geringerer Schwankungsbreite hat die höhere Sharpe-Ratio und gilt als effizienter.",Risikomanagement; Portfoliotheorie; William Sharpe,Normalverteilung (Gauß-Verteilung); Value at Risk (VaR)
Z-Score,Statistik,"Gibt an, um wie viele Standardabweichungen ein Messwert vom Mittelwert einer Verteilung entfernt liegt; standardisiert Werte unterschiedlicher Skalen vergleichbar.","Ein Z-Score von +2 bei einer Renditeverteilung bedeutet, dass der Wert deutlich außergewöhnlich (oberer 2,5%-Bereich) liegt, wenn die Verteilung normalverteilt ist.",Statistik; Standardisierung; Ausreißer,Normalverteilung (Gauß-Verteilung); Zentraler Grenzwertsatz
Mengenlehre,Mathematik,"Das Teilgebiet der Mathematik, das sich mit Mengen (Zusammenfassungen von Objekten) und den Beziehungen zwischen ihnen (Vereinigung, Schnitt, Teilmenge) befasst; Grundlage moderner Mathematik.",Die Aussage 'alle geraden Zahlen sind eine Teilmenge der natürlichen Zahlen' ist eine mengentheoretische Feststellung.,Grundlagen; Logik; Georg Cantor,Vektorraum
Value at Risk (VaR),Ökonomie / Risikomanagement,"Eine Kennzahl, die den maximal erwarteten Verlust eines Portfolios über einen bestimmten Zeitraum mit einer festgelegten Wahrscheinlichkeit angibt.",Ein Tages-VaR von 1 Million Euro bei 99% Konfidenz bedeutet: An 99 von 100 Tagen sollte der Verlust diesen Betrag nicht überschreiten.,Risikomanagement; Bankenregulierung; Basel,Sharpe-Ratio; Fat Tails / Exzess-Kurtosis
Monte-Carlo-Simulation,Mathematik / Statistik,"Ein Verfahren, das komplexe Systeme durch wiederholte Zufallsstichproben simuliert, um Wahrscheinlichkeitsverteilungen von Ergebnissen zu schätzen, wenn eine analytische Lösung zu schwierig ist.","Um das Risiko eines Portfolios zu schätzen, werden zehntausend zufällige Marktszenarien durchgespielt und die Verteilung der resultierenden Verluste ausgewertet.",Simulation; Risikomodellierung; Statistik,Markov-Kette; Value at Risk (VaR)
Normalverteilung (Gauß-Verteilung),Statistik,"Eine glockenförmige Wahrscheinlichkeitsverteilung, bei der die meisten Werte nahe dem Mittelwert liegen und extreme Abweichungen exponentiell unwahrscheinlicher werden; Grundannahme vieler klassischer Finanzmodelle.","Körpergrößen in einer Bevölkerung folgen ungefähr einer Normalverteilung; Finanzmarktrenditen dagegen oft nicht, was klassische Risikomodelle unterschätzen lässt.",Statistik; Wahrscheinlichkeit; Carl Friedrich Gauß,Z-Score; Fat Tails / Exzess-Kurtosis
Fat Tails / Exzess-Kurtosis,Statistik / Ökonomie,"Beschreibt Wahrscheinlichkeitsverteilungen, bei denen extreme Ereignisse deutlich häufiger auftreten, als eine Normalverteilung vorhersagen würde.","Finanzmarkt-Crashs treten in der Realität viel öfter auf, als ein normalverteiltes Risikomodell erwarten lässt - ein zentrales Argument Nassim Talebs gegen klassische Risikomodelle.",Risikomodellierung; Nassim Taleb; Extremereignisse,Normalverteilung (Gauß-Verteilung); Value at Risk (VaR)
Random Walk,Mathematik / Ökonomie,"Ein stochastischer Prozess, bei dem sich der nächste Wert durch eine zufällige Abweichung vom aktuellen Wert ergibt, ohne vorhersehbares Muster.","Die Random-Walk-Hypothese besagt, dass kurzfristige Aktienkursbewegungen nicht aus vergangenen Kursen vorhersagbar sind, weil sie im Wesentlichen zufällig sind.",Stochastik; Effizienzmarkthypothese; Finanzmathematik,Markov-Kette; Effizienzmarkthypothese
Effizienzmarkthypothese,Ökonomie,"Die These, dass Finanzmarktpreise jederzeit alle verfügbaren Informationen widerspiegeln, wodurch es unmöglich sein sollte, den Markt systematisch durch Informationsvorteile zu schlagen.","Wenn ein Unternehmen gute Nachrichten veröffentlicht, sollte der Aktienkurs sie augenblicklich einpreisen, nicht erst allmählich über Tage.",Eugene Fama; Finanzmarkttheorie; Ökonomie,Random Walk; Reflexivität
Black-Scholes-Modell,Ökonomie / Finanzmathematik,"Ein mathematisches Modell zur Bewertung von Optionen, das u.a. Volatilität, Zeit bis zur Fälligkeit und den risikofreien Zinssatz nutzt, um einen theoretisch fairen Preis zu berechnen.","Ein Händler nutzt Black-Scholes, um zu prüfen, ob eine am Markt gehandelte Option über- oder unterbewertet ist.",Optionspreistheorie; Finanzmathematik; Black/Scholes,Normalverteilung (Gauß-Verteilung); Random Walk
Fraktale Dimension,Mathematik,"Ein Maß für die Rauheit oder Selbstähnlichkeit einer geometrischen Struktur, das nicht ganzzahlig sein muss und beschreibt, wie sich Detailreichtum mit der Betrachtungsskala ändert.","Eine Küstenlinie wird bei genauerer Betrachtung immer länger, ohne einen klaren Endwert zu erreichen - ihre fraktale Dimension liegt zwischen der einer Linie und einer Fläche.",Benoît Mandelbrot; Geometrie; Selbstähnlichkeit,Hurst-Exponent; Selbstorganisierte Kritikalität
Potenzgesetz (Power Law),Mathematik / Statistik,"Eine Beziehung, bei der eine Größe proportional zu einer Potenz einer anderen Größe skaliert, oft erkennbar an einer Geraden in doppelt-logarithmischer Darstellung; charakteristisch für viele Natur- und Sozialphänomene.","Die Häufigkeit von Erdbeben verschiedener Stärke, Stadtgrößen und Vermögensverteilungen folgen alle näherungsweise einem Potenzgesetz statt einer Normalverteilung.",Skalierung; Verteilungen; Komplexitätsforschung,Selbstorganisierte Kritikalität; LPPLS (Log-Periodic Power Law Singularity)
Bayes'sches Theorem,Mathematik / Statistik,"Eine Formel, die beschreibt, wie eine bereits bestehende Wahrscheinlichkeitseinschätzung (Prior) angesichts neuer Evidenz systematisch zu einer aktualisierten Einschätzung (Posterior) angepasst werden sollte.","Ein medizinischer Test ist zu 99% genau, aber bei einer seltenen Krankheit (1 von 10.000) ist ein positives Ergebnis trotzdem meist ein Fehlalarm - Bayes' Theorem erklärt, warum.",Wahrscheinlichkeitstheorie; Statistik; Thomas Bayes,Zentraler Grenzwertsatz
